Date,Wellhead_Price,Natural_Gas_Imports_Price,Pipeline_Imports_Price,LNG_Imports_Price,Natural_Gas_Exports_Price,Pipeline_Exports_Price,Liquefied_Gas_Exports_Price,Citygate_Price,Price_of_Gas_Delivered_to_Residential_Consumers,Percent_Total_Residential_Sales,Price_of_Gas_Sold_to_Commercial_Consumers,Percent_Commercial_Deliveries,Industrial_Price,Percent_Industrial_Deliveries,Electric_Power_Price
1988-03-06,1.70,,,,,,,2.87,5.18,,4.69,92.50,,,
1988-02-06,1.84,,,,,,,2.95,5.09,,4.69,93.30,,,
1988-01-06,1.96,,,,,,,2.91,5.08,,4.60,93.80,,,
1987-12-06,1.70,,,,,,,2.84,5.13,,4.67,,,,
1987-11-06,1.64,,,,,,,2.76,5.42,,4.66,,,,
1987-10-06,1.57,,,,,,,2.69,5.85,,4.62,,,,
1987-09-06,1.56,,,,,,,2.83,6.64,,4.60,,,,
1987-08-06,1.63,,,,,,,2.89,6.84,,4.77,,,,
1987-07-06,1.66,,,,,,,2.92,6.78,,4.78,,,,
1987-06-06,1.65,,,,,,,2.84,6.55,,4.87,,,,
1987-05-06,1.65,,,,,,,2.81,5.98,,4.88,,,,
1987-04-06,1.69,,,,,,,2.86,5.46,,4.90,,,,
1987-03-06,1.73,,,,,,,2.91,5.36,,4.80,,,,
1987-02-06,1.73,,,,,,,3.03,5.34,,4.79,,,,
1987-01-06,1.74,,,,,,,2.98,5.30,,4.80,,,,
1986-12-06,1.76,,,,,,,2.99,5.28,,4.73,,,,
1986-11-06,1.77,,,,,,,2.90,5.66,,4.74,,,,
1986-10-06,1.73,,,,,,,2.94,6.38,,4.88,,,,
1986-09-06,1.78,,,,,,,3.02,6.83,,4.93,,,,
1986-08-06,1.77,,,,,,,3.04,6.94,,4.90,,,,
1986-07-06,1.80,,,,,,,3.08,6.84,,5.02,,,,
1986-06-06,1.85,,,,,,,3.11,6.67,,5.09,,,,
1986-05-06,1.96,,,,,,,3.15,6.18,,5.19,,,,
1986-04-06,2.10,,,,,,,3.33,5.89,,5.23,,,,
1986-03-06,2.16,,,,,,,3.50,5.71,,5.25,,,,
1986-02-06,2.26,,,,,,,3.52,5.67,,5.28,,,,
1986-01-06,2.28,,,,,,,3.52,5.63,,5.25,,,,
1985-12-06,2.28,,,,,,,3.45,5.70,,5.25,,,,
1985-11-06,2.36,,,,,,,3.46,6.13,,5.39,,,,
1985-10-06,2.37,,,,,,,3.59,6.50,,5.30,,,,
1985-09-06,2.42,,,,,,,3.68,7.06,,5.37,,,,
1985-08-06,2.47,,,,,,,3.70,7.21,,5.42,,,,
1985-07-06,2.51,,,,,,,3.69,7.07,,5.44,,,,
1985-06-06,2.58,,,,,,,3.86,6.96,,5.65,,,,
1985-05-06,2.53,,,,,,,3.89,6.59,,5.59,,,,
1985-04-06,2.64,,,,,,,3.91,6.11,,5.65,,,,
1985-03-06,2.62,,,,,,,3.97,5.99,,5.59,,,,
1985-02-06,2.71,,,,,,,3.94,5.86,,5.53,,,,
1985-01-06,2.64,,,,,,,3.89,5.97,,5.62,,,,
1984-12-06,2.57,,,,,,,3.97,6.05,,5.60,,,,
1984-11-06,2.61,,,,,,,3.92,6.31,,5.56,,,,
1984-10-06,2.63,,,,,,,3.99,6.80,,5.54,,,,
1984-09-06,2.62,,,,,,,4.02,7.17,,5.53,,,,
1984-08-06,2.69,,,,,,,3.69,7.23,,5.47,,,,
1984-07-06,2.68,,,,,,,4.06,7.11,,5.60,,,,
1984-06-06,2.70,,,,,,,4.02,6.76,,5.67,,,,
1984-05-06,2.67,,,,,,,3.98,6.27,,5.60,,,,
1984-04-06,2.64,,,,,,,3.96,5.96,,5.52,,,,
1984-03-06,2.67,,,,,,,3.91,5.92,,5.57,,,,
1984-02-06,2.71,,,,,,,4.02,5.84,,5.54,,,,
1984-01-06,2.67,,,,,,,3.94,5.78,,5.49,,,,
1983-12-06,2.61,,,,,,,3.88,5.94,,5.62,,,,
1983-11-06,2.60,,,,,,,3.91,6.30,,5.67,,,,
1983-10-06,2.58,,,,,,,3.97,6.70,,5.62,,,,
1983-09-06,2.67,,,,,,,,6.19,,,,,,
1983-08-06,2.58,,,,,,,,6.18,,,,,,
1983-07-06,2.52,,,,,,,,6.21,,,,,,
1983-06-06,2.59,,,,,,,,6.20,,,,,,
1983-05-06,2.53,,,,,,,,6.22,,,,,,
1983-04-06,2.53,,,,,,,,6.06,,,,,,
1983-03-06,2.58,,,,,,,,6.00,,,,,,
1983-02-06,2.66,,,,,,,,5.87,,,,,,
1983-01-06,2.66,,,,,,,,5.86,,,,,,
1982-12-06,2.62,,,,,,,,5.74,,,,,,
1982-11-06,2.62,,,,,,,,5.68,,,,,,
1982-10-06,2.60,,,,,,,,5.66,,,,,,
1982-09-06,2.56,,,,,,,,5.41,,,,,,
1982-08-06,2.53,,,,,,,,5.23,,,,,,
1982-07-06,2.47,,,,,,,,5.23,,,,,,
1982-06-06,2.45,,,,,,,,5.20,,,,,,
1982-05-06,2.45,,,,,,,,5.17,,,,,,
1982-04-06,2.40,,,,,,,,4.86,,,,,,
1982-03-06,2.35,,,,,,,,4.78,,,,,,
1982-02-06,2.30,,,,,,,,4.69,,,,,,
1982-01-06,2.23,,,,,,,,4.65,,,,,,
1981-12-06,2.16,,,,,,,,4.55,,,,,,
1981-11-06,2.15,,,,,,,,4.53,,,,,,
1981-10-06,2.11,,,,,,,,4.50,,,,,,
1981-09-06,2.08,,,,,,,,4.47,,,,,,
1981-08-06,2.02,,,,,,,,4.30,,,,,,
1981-07-06,2.01,,,,,,,,4.32,,,,,,
1981-06-06,1.95,,,,,,,,4.30,,,,,,
1981-05-06,1.95,,,,,,,,4.29,,,,,,
1981-04-06,1.93,,,,,,,,4.11,,,,,,
1981-03-06,1.86,,,,,,,,4.06,,,,,,
1981-02-06,1.81,,,,,,,,3.99,,,,,,
1981-01-06,1.77,,,,,,,,3.94,,,,,,
1980-12-06,1.74,,,,,,,,,,,,,,
1980-11-06,1.76,,,,,,,,,,,,,,
1980-10-06,1.71,,,,,,,,,,,,,,
1980-09-06,1.69,,,,,,,,,,,,,,
1980-08-06,1.64,,,,,,,,,,,,,,
1980-07-06,1.64,,,,,,,,,,,,,,
1980-06-06,1.57,,,,,,,,,,,,,,
1980-05-06,1.56,,,,,,,,,,,,,,
1980-04-06,1.51,,,,,,,,,,,,,,
1980-03-06,1.46,,,,,,,,,,,,,,
1980-02-06,1.42,,,,,,,,,,,,,,
1980-01-06,1.37,,,,,,,,,,,,,,
1979-12-06,1.31,,,,,,,,,,,,,,
1979-11-06,1.29,,,,,,,,,,,,,,
1979-10-06,1.28,,,,,,,,,,,,,,
1979-09-06,1.24,,,,,,,,,,,,,,
1979-08-06,1.24,,,,,,,,,,,,,,
1979-07-06,1.20,,,,,,,,,,,,,,
1979-06-06,1.17,,,,,,,,,,,,,,
1979-05-06,1.15,,,,,,,,,,,,,,
1979-04-06,1.11,,,,,,,,,,,,,,
1979-03-06,1.10,,,,,,,,,,,,,,
1979-02-06,1.05,,,,,,,,,,,,,,
1979-01-06,1.02,,,,,,,,,,,,,,
1978-12-06,0.96,,,,,,,,,,,,,,
1978-11-06,0.93,,,,,,,,,,,,,,
1978-10-06,0.92,,,,,,,,,,,,,,
1978-09-06,0.92,,,,,,,,,,,,,,
1978-08-06,0.91,,,,,,,,,,,,,,
1978-07-06,0.89,,,,,,,,,,,,,,
1978-06-06,0.91,,,,,,,,,,,,,,
1978-05-06,0.91,,,,,,,,,,,,,,
1978-04-06,0.88,,,,,,,,,,,,,,
1978-03-06,0.89,,,,,,,,,,,,,,
1978-02-06,0.88,,,,,,,,,,,,,,
1978-01-06,0.87,,,,,,,,,,,,,,
1977-12-06,0.84,,,,,,,,,,,,,,
1977-11-06,0.83,,,,,,,,,,,,,,
1977-10-06,0.84,,,,,,,,,,,,,,
1977-09-06,0.83,,,,,,,,,,,,,,
1977-08-06,0.82,,,,,,,,,,,,,,
1977-07-06,0.83,,,,,,,,,,,,,,
1977-06-06,0.82,,,,,,,,,,,,,,
1977-05-06,0.77,,,,,,,,,,,,,,
1977-04-06,0.77,,,,,,,,,,,,,,
1977-03-06,0.75,,,,,,,,,,,,,,
1977-02-06,0.71,,,,,,,,,,,,,,
1977-01-06,0.67,,,,,,,,,,,,,,
1976-12-06,0.64,,,,,,,,,,,,,,
1976-11-06,0.63,,,,,,,,,,,,,,
1976-10-06,0.62,,,,,,,,,,,,,,
1976-09-06,0.60,,,,,,,,,,,,,,
1976-08-06,0.60,,,,,,,,,,,,,,
1976-07-06,0.58,,,,,,,,,,,,,,
1976-06-06,0.58,,,,,,,,,,,,,,
1976-05-06,0.55,,,,,,,,,,,,,,
1976-04-06,0.55,,,,,,,,,,,,,,
1976-03-06,0.54,,,,,,,,,,,,,,
1976-02-06,0.54,,,,,,,,,,,,,,
1976-01-06,0.54,,,,,,,,,,,,,,
